Datum;Starttid;Sluttid;Längd;Kanalnamn;Titel;Titelkod;Genre1;Genre2;Genre3;Rating % A3-99 [OV];Rating % A15-64 [OV];Rating % A15-44 [OV];Rating 000s A3-99 [OV];Rating 000s A15-64 [OV];Rating 000s A15-44 [OV];Share A3-99 [OV];Share A15-64 [OV];Share A15-44 [OV]
2024-08-27;06:35;06:35;1;TV4;LOKALT VÄDER;5259451;Nyheter;Övriga nyheter/Väder;Väder;1,075 %;0,939 %;0,414 %;110;61;17;46,546 %;55,015 %;57,622 %
2024-08-27;06:36;06:36;1;TV4;NYHETSMORGON;5247709;Blandmagasin;Morgonmagasin;-;1,090 %;0,963 %;0,414 %;111;63;17;47,420 %;56,424 %;57,622 %
2024-08-27;06:42;06:46;5;SVT1;SPORTNYTT;1410294-171A;Sport;Sportnyheter;-;0,638 %;0,357 %;0,125 %;65;23;5;27,020 %;20,616 %;19,018 %
2024-08-27;06:42;06:59;18;TV4;NYHETSMORGON;5698679;Blandmagasin;Morgonmagasin;-;1,403 %;1,177 %;0,451 %;143;76;18;51,634 %;59,030 %;59,012 %
2024-08-27;06:47;06:50;4;SVT1;KULTURNYHETERNA;1410152-171A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,671 %;0,426 %;0,174 %;69;28;7;25,721 %;21,970 %;22,633 %
2024-08-27;06:51;06:59;9;SVT1;MORGONSTUDION;1410105-171A;Blandmagasin;Morgonmagasin;-;0,852 %;0,550 %;0,239 %;87;36;10;28,745 %;25,425 %;29,196 %
2024-08-27;06:57;07:45;49;TV3;PACIFIC BLUE;10.5240/8EB1-2790-16E1-2703-2B4C-8;Fiktion/Film;TV-serier;Action/Äventyr;0,012 %;0,019 %;0,000 %;1;1;0;0,338 %;0,687 %;0,000 %
2024-08-27;07:00;07:06;7;SVT1;RAPPORT;1410134-171A;Nyheter;Huvudnyheter;Nyhetssändningar;1,157 %;0,769 %;0,256 %;118;50;10;34,142 %;28,804 %;25,826 %
2024-08-27;07:00;07:08;9;TV4;NYHETERNA OCH SPORT;5692744;Nyheter;Huvudnyheter;Nyhetssändningar;1,750 %;1,570 %;0,612 %;179;102;24;51,802 %;58,900 %;64,210 %
2024-08-27;07:07;07:09;3;SVT1;LOKALA NYHETER;1410143-171A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,210 %;0,793 %;0,238 %;124;52;9;35,840 %;29,910 %;29,806 %
2024-08-27;07:09;07:10;2;TV4;TV4VÄDRET;5692751;Nyheter;Övriga nyheter/Väder;Väder;1,789 %;1,631 %;0,503 %;183;106;20;52,116 %;62,338 %;68,816 %
2024-08-27;07:10;07:28;19;SVT1;MORGONSTUDION;1410106-171A;Blandmagasin;Morgonmagasin;-;1,052 %;0,734 %;0,148 %;108;48;6;29,133 %;25,739 %;18,992 %
2024-08-27;07:11;07:28;18;TV4;NYHETSMORGON;5692755;Blandmagasin;Morgonmagasin;-;2,090 %;1,829 %;0,586 %;214;119;23;57,694 %;63,740 %;74,770 %
2024-08-27;07:21;08:08;48;Kanal5;ÖVER ATLANTEN;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,035 %;0,041 %;0,031 %;4;3;1;0,886 %;1,489 %;3,804 %
2024-08-27;07:29;07:29;1;SVT1;VÄDER;1410122-171A;Nyheter;Övriga nyheter/Väder;Väder;1,222 %;0,854 %;0,112 %;125;55;4;32,885 %;28,887 %;12,930 %
2024-08-27;07:29;07:34;6;TV4;NYHETERNA;5679952;Nyheter;Huvudnyheter;Nyhetssändningar;2,048 %;1,776 %;0,682 %;209;115;27;53,811 %;59,461 %;78,598 %
2024-08-27;07:30;07:32;3;SVT1;RAPPORT;1410136-171A;Nyheter;Huvudnyheter;Nyhetssändningar;1,247 %;0,864 %;0,112 %;128;56;4;32,908 %;29,010 %;13,216 %
2024-08-27;07:33;07:35;3;SVT1;LOKALA NYHETER;1410144-171A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,255 %;0,837 %;0,146 %;128;54;6;32,528 %;28,163 %;16,128 %
2024-08-27;07:35;07:35;1;TV4;LOKALT VÄDER;5259456;Nyheter;Övriga nyheter/Väder;Väder;2,130 %;1,800 %;0,694 %;218;117;28;55,752 %;62,359 %;74,828 %
2024-08-27;07:36;07:43;8;SVT1;MORGONSTUDION;1410107-171A;Blandmagasin;Morgonmagasin;-;1,150 %;0,676 %;0,149 %;118;44;6;30,255 %;25,208 %;18,556 %
2024-08-27;07:36;07:36;1;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;2,076 %;1,660 %;0,653 %;212;108;26;56,409 %;62,084 %;73,665 %
2024-08-27;07:40;07:54;15;TV4;NYHETSMORGON;5698674;Blandmagasin;Morgonmagasin;-;2,423 %;1,795 %;0,566 %;248;117;23;59,698 %;63,454 %;62,625 %
2024-08-27;07:44;07:48;5;SVT1;SPORTNYTT;1410295-171A;Sport;Sportnyheter;-;1,123 %;0,634 %;0,140 %;115;41;6;27,799 %;22,499 %;15,610 %
2024-08-27;07:49;07:53;5;SVT1;KULTURNYHETERNA;1410154-171A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;0,995 %;0,601 %;0,155 %;102;39;6;23,950 %;20,815 %;16,548 %
2024-08-27;07:49;08:37;49;TV3;UNDERCOVER BOSS US;10.5240/6957-9D27-A89A-A756-88A0-L;Fakta;Samhällsprogram;-;0,056 %;0,033 %;0,000 %;6;2;0;1,302 %;1,386 %;0,000 %
2024-08-27;07:54;07:59;6;SVT1;MORGONSTUDION;1410108-171A;Blandmagasin;Morgonmagasin;-;1,126 %;0,615 %;0,117 %;115;40;5;27,763 %;23,209 %;15,903 %
2024-08-27;08:00;08:06;7;SVT1;RAPPORT;1410137-171A;Nyheter;Huvudnyheter;Nyhetssändningar;1,352 %;0,652 %;0,188 %;138;42;8;31,695 %;25,979 %;26,530 %
2024-08-27;08:00;08:07;8;TV4;NYHETERNA OCH SPORT;5692757;Nyheter;Huvudnyheter;Nyhetssändningar;2,297 %;1,416 %;0,363 %;235;92;14;53,820 %;56,835 %;52,873 %
2024-08-27;08:07;08:09;3;SVT1;LOKALA NYHETER;1410146-171A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,433 %;0,663 %;0,200 %;147;43;8;33,820 %;27,711 %;36,964 %
2024-08-27;08:08;08:09;2;TV4;TV4VÄDRET;5692751;Nyheter;Övriga nyheter/Väder;Väder;2,189 %;1,368 %;0,268 %;224;89;11;52,005 %;56,808 %;49,041 %
2024-08-27;08:09;08:53;45;Kanal5;WAHLGRENS VÄRLD;;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,039 %;0,052 %;0,031 %;4;3;1;0,877 %;2,382 %;6,181 %
2024-08-27;08:10;08:27;18;SVT1;MORGONSTUDION;1410109-171A;Blandmagasin;Morgonmagasin;-;1,502 %;0,581 %;0,170 %;154;38;7;35,403 %;26,036 %;31,965 %
2024-08-27;08:10;08:11;2;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;2,208 %;1,366 %;0,268 %;226;89;11;52,937 %;58,347 %;44,222 %
2024-08-27;08:16;08:24;9;TV4;NYHETSMORGON;7749685;Blandmagasin;Morgonmagasin;-;2,176 %;1,321 %;0,263 %;223;86;10;51,181 %;59,851 %;51,348 %
2024-08-27;08:28;08:29;2;SVT1;VÄDER;1410124-171A;Nyheter;Övriga nyheter/Väder;Väder;1,798 %;0,680 %;0,182 %;184;44;7;40,931 %;31,392 %;36,212 %
2024-08-27;08:30;08:32;3;SVT1;RAPPORT;1410138-171A;Nyheter;Huvudnyheter;Nyhetssändningar;1,664 %;0,726 %;0,186 %;170;47;7;35,831 %;31,587 %;30,161 %
2024-08-27;08:30;08:34;5;TV4;NYHETERNA;5679952;Nyheter;Huvudnyheter;Nyhetssändningar;2,245 %;1,168 %;0,261 %;230;76;10;48,223 %;51,392 %;46,063 %
2024-08-27;08:33;08:35;3;SVT1;LOKALA NYHETER;1410147-171A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,621 %;0,638 %;0,130 %;166;41;5;34,584 %;28,613 %;26,531 %
2024-08-27;08:35;08:35;1;TV4;LOKALT VÄDER;5259461;Nyheter;Övriga nyheter/Väder;Väder;2,236 %;1,222 %;0,222 %;229;79;9;47,383 %;54,851 %;46,372 %
2024-08-27;08:36;08:42;7;SVT1;MORGONSTUDION;1410110-171A;Blandmagasin;Morgonmagasin;-;1,816 %;0,634 %;0,134 %;186;41;5;38,107 %;29,786 %;29,974 %
2024-08-27;08:40;09:29;50;TV3;MASTERCHEF USA;10.5240/D7B4-ADC3-255C-C77B-2E03-R;Underhållning, Lek;Lek, Tävling;Lek/tävlingsprogram;0,035 %;0,029 %;0,000 %;4;2;0;0,759 %;1,422 %;0,000 %
2024-08-27;08:40;08:55;16;TV4;NYHETSMORGON;7750769;Blandmagasin;Morgonmagasin;-;2,445 %;1,268 %;0,202 %;250;82;8;51,533 %;59,768 %;44,880 %
2024-08-27;08:43;08:47;5;SVT1;SPORTNYTT;1410296-171A;Sport;Sportnyheter;-;1,597 %;0,533 %;0,146 %;163;35;6;33,829 %;24,961 %;31,155 %
2024-08-27;08:48;08:53;6;SVT1;KULTURNYHETERNA;1410155-171A;Nyheter;Övriga nyheter/Väder;Övriga nyheter;1,497 %;0,495 %;0,132 %;153;32;5;31,873 %;23,662 %;33,033 %
